"year","country","age","gender","corruption","imp_democracy","income_group"
2017,"US",31,2,8,5,3
2017,"US",18,1,6,6,7
2017,"US",63,2,10,10,5
2017,"US",81,2,8,8,2
2017,"US",39,2,10,8,3
2017,"US",30,2,5,5,5
2017,"US",64,1,NA,5,4
2017,"US",40,2,8,10,6
2017,"US",35,2,5,5,5
2017,"US",55,2,10,3,5
2017,"US",37,1,6,6,1
2017,"US",42,1,5,NA,5
2017,"US",30,2,7,5,6
2017,"US",23,2,4,8,5
2017,"US",64,1,6,8,4
2017,"US",68,2,7,10,6
2017,"US",47,1,7,5,5
2017,"US",26,1,5,5,2
2017,"US",58,2,9,8,9
2017,"US",62,2,5,8,5
2017,"US",30,1,5,5,5
2017,"US",27,2,9,5,4
2017,"US",31,1,10,5,5
2017,"US",28,2,8,8,3
2017,"US",22,1,4,5,4
2017,"US",30,2,10,6,5
2017,"US",43,2,10,8,8
2017,"US",59,2,10,10,3
2017,"US",53,2,7,5,1
2017,"US",31,2,10,5,5
2017,"US",31,2,10,5,5
2017,"US",23,2,7,5,5
2017,"US",27,2,10,8,5
2017,"US",30,1,7,6,5
2017,"US",31,2,8,10,6
2017,"US",30,2,10,8,5
2017,"US",70,2,10,10,1
2017,"US",35,1,6,5,5
2017,"US",65,1,10,10,6
2017,"US",72,2,8,9,5
2017,"US",70,2,8,10,2
2017,"US",28,2,7,8,5
2017,"US",33,2,10,5,5
2017,"US",39,1,8,5,2
2017,"US",23,2,5,5,5
2017,"US",44,2,7,8,4
2017,"US",49,2,10,10,7
2017,"US",18,2,8,7,5
2017,"US",28,1,5,5,2
2017,"US",48,2,5,10,7
2017,"US",47,1,8,10,5
2017,"US",69,2,8,6,6
2017,"US",61,1,7,9,3
2017,"US",26,2,5,6,4
2017,"US",44,1,10,9,6
2017,"US",60,1,7,10,4
2017,"US",70,1,10,10,3
2017,"US",64,1,7,9,6
2017,"US",66,1,9,9,5
2017,"US",81,1,8,10,3
2017,"US",61,2,10,9,5
2017,"US",36,1,9,10,4
2017,"US",47,1,10,10,6
2017,"US",30,2,8,8,5
2017,"US",19,1,10,5,NA
2017,"US",27,2,8,7,6
2017,"US",42,1,10,10,3
2017,"US",27,1,8,6,8
2017,"US",20,1,10,5,4
2017,"US",34,1,10,7,4
2017,"US",32,2,8,10,8
2017,"US",31,2,NA,9,7
2017,"US",35,1,6,6,6
2017,"US",28,2,7,6,6
2017,"US",19,2,5,7,5
2017,"US",27,2,7,7,4
2017,"US",19,2,10,5,1
2017,"US",28,1,8,10,4
2017,"US",34,1,4,5,7
2017,"US",35,1,8,4,7
2017,"US",55,2,5,5,4
2017,"US",56,1,10,10,2
2017,"US",33,2,8,7,1
2017,"US",29,2,3,7,5
2017,"US",30,1,6,7,6
2017,"US",56,1,10,10,5
2017,"US",50,1,10,5,5
2017,"US",20,1,7,8,6
2017,"US",34,1,8,8,7
2017,"US",50,1,7,9,7
2017,"US",23,2,6,6,5
2017,"US",77,1,10,8,7
2017,"US",25,2,5,5,2
2017,"US",61,1,7,9,7
2017,"US",22,2,6,6,6
2017,"US",72,1,8,10,1
2017,"US",59,2,8,5,4
2017,"US",47,1,10,10,3
2017,"US",78,2,5,9,5
2017,"US",52,2,10,5,7
