"","X","internettbruk","kjonn","alder","utdanning","tillit"
"647",647,5,1,70,16,7
"648",648,5,2,49,14,3
"649",649,2,2,58,8,7
"650",650,4,1,24,12,6
"651",651,2,2,50,8,2
"652",652,4,2,52,13,5
"653",653,5,2,39,13,2
"654",654,3,1,44,14,6
"655",655,5,2,18,12,6
"656",656,4,1,64,8,5
"657",657,1,1,69,9,3
"658",658,5,1,26,NA,NA
"659",659,4,1,62,13,0
"660",660,1,1,70,8,3
"661",661,5,2,68,16,0
"662",662,5,2,63,18,5
"663",663,2,2,82,5,2
"664",664,5,1,16,10,5
"665",665,1,2,56,8,0
"666",666,5,1,55,13,2
"667",667,5,1,37,9,6
"668",668,5,2,40,13,3
"669",669,1,2,36,8,2
"670",670,5,2,18,12,1
"671",671,5,1,21,14,3
"672",672,5,1,16,10,9
"673",673,1,2,66,6,5
"674",674,4,2,47,12,1
"675",675,1,2,73,5,2
"676",676,5,1,22,14,6
"677",677,2,2,60,13,3
"678",678,4,2,59,13,4
"679",679,2,1,64,8,4
"680",680,5,2,23,17,3
"681",681,5,2,47,15,5
"682",682,3,2,51,8,1
"683",683,5,1,40,20,3
"684",684,5,1,27,13,5
"685",685,5,1,64,15,1
"686",686,5,2,66,8,4
"687",687,5,1,58,13,6
"688",688,1,1,78,5,5
"689",689,5,1,43,11,6
"690",690,4,2,58,15,5
"691",691,1,2,53,5,0
"692",692,5,2,31,13,6
"693",693,1,2,75,5,10
"694",694,5,1,20,13,8
"695",695,5,1,23,13,2
"696",696,5,1,48,12,8
"697",697,5,2,46,18,2
"698",698,1,1,72,5,3
"699",699,2,2,59,13,0
"700",700,4,1,66,14,5
"701",701,4,2,63,13,0
"702",702,1,2,57,8,5
"703",703,5,1,46,18,4
"704",704,5,2,61,8,2
"705",705,2,2,72,6,4
"706",706,5,1,44,13,6
"707",707,5,2,43,13,7
"708",708,5,1,39,13,7
"709",709,1,2,70,11,5
"710",710,1,1,56,4,2
"711",711,1,2,73,6,3
"712",712,2,2,61,13,2
"713",713,5,2,30,19,0
"714",714,4,1,60,8,8
"715",715,1,1,71,5,6
"716",716,5,1,61,8,4
"717",717,5,2,58,13,8
"718",718,5,1,44,9,3
"719",719,5,2,53,18,2
"720",720,5,2,67,10,3
"721",721,5,2,27,13,0
"722",722,5,2,24,15,7
"723",723,1,2,72,5,7
"724",724,4,1,16,10,NA
"725",725,5,2,37,14,0
"726",726,1,1,65,5,7
"727",727,1,2,79,5,0
"728",728,5,1,28,18,NA
"729",729,5,2,29,8,5
"730",730,5,2,40,11,5
"731",731,5,2,70,13,5
"732",732,5,1,47,18,4
"733",733,3,2,52,12,2
"734",734,1,2,67,5,6
"735",735,5,2,24,14,0
"736",736,5,1,41,12,2
"737",737,1,2,86,5,5
"738",738,5,2,37,8,6
"739",739,4,2,56,10,3
"740",740,5,2,46,18,2
"741",741,2,1,57,11,6
"742",742,5,2,49,12,6
"743",743,5,1,23,14,8
"744",744,1,1,78,10,0
"745",745,5,2,32,13,7
"746",746,5,1,20,14,4
"747",747,1,1,68,8,3
"748",748,5,2,50,20,5
"749",749,5,1,18,10,5
"750",750,5,2,33,10,6
"751",751,5,2,70,14,5
"752",752,2,2,56,15,10
"753",753,5,1,57,8,1
"754",754,1,2,84,5,3
"755",755,2,2,66,9,2
"756",756,5,2,38,26,5
"757",757,5,1,25,13,4
"758",758,5,1,31,15,1
"759",759,4,2,61,13,4
"760",760,5,1,68,15,1
"761",761,5,2,54,11,6
"762",762,5,1,44,13,5
"763",763,1,1,50,9,10
"764",764,2,1,46,13,4
"765",765,5,1,48,13,4
"766",766,2,2,55,8,0
"767",767,5,2,41,11,3
"768",768,1,2,89,3,0
"769",769,5,2,43,17,1
"770",770,5,1,44,11,0
"771",771,5,1,61,20,4
"772",772,5,2,43,16,5
"773",773,4,2,42,13,6
"774",774,5,2,45,13,7
"775",775,5,2,55,8,4
"776",776,5,2,30,12,7
"777",777,5,2,21,14,6
"778",778,4,2,65,13,5
"779",779,5,2,30,16,5
"780",780,5,1,63,13,7
"781",781,5,1,44,13,4
"782",782,2,1,77,13,3
"783",783,4,1,43,12,5
"784",784,5,2,37,13,6
"785",785,5,1,49,12,5
"786",786,5,1,56,10,7
"787",787,5,1,43,17,2
"788",788,5,1,65,14,1
"789",789,4,1,20,NA,NA
"790",790,1,2,67,5,0
"791",791,5,1,57,15,6
"792",792,5,2,48,19,5
"793",793,5,2,23,13,5
"794",794,5,1,27,20,4
"795",795,4,2,25,14,2
"796",796,5,1,51,8,0
"797",797,4,1,47,8,2
"798",798,5,1,31,13,7
"799",799,1,2,78,5,5
"800",800,1,2,51,8,4
"801",801,5,2,20,13,0
"802",802,5,1,17,11,6
"803",803,4,1,82,3,5
"804",804,5,2,28,16,5
"805",805,5,2,58,6,2
"806",806,2,1,53,NA,7
"807",807,4,1,43,16,0
"808",808,5,1,60,8,4
"809",809,2,1,61,13,1
"810",810,4,1,46,19,2
"811",811,1,2,72,5,5
"812",812,5,1,67,NA,4
"813",813,5,2,22,13,NA
"814",814,5,2,37,8,4
"815",815,5,1,37,9,2
"816",816,1,2,70,5,7
"817",817,1,1,72,5,4
"818",818,1,2,90,15,10
"819",819,5,2,23,13,NA
"820",820,1,2,90,NA,6
"821",821,1,2,57,5,6
"822",822,1,1,82,5,5
"823",823,5,1,50,13,3
"824",824,5,2,33,13,1
"825",825,5,2,17,11,NA
"826",826,5,1,46,13,2
"827",827,5,2,47,8,10
"828",828,5,1,35,15,3
"829",829,5,1,27,NA,1
"830",830,4,2,50,8,7
"831",831,5,2,62,8,4
"832",832,5,1,48,13,5
"833",833,5,2,18,10,NA
"834",834,3,2,53,13,5
"835",835,5,2,63,11,7
"836",836,5,2,40,13,1
"837",837,5,1,68,17,5
"838",838,4,2,48,8,2
"839",839,4,1,58,8,4
"840",840,2,1,32,NA,0
"841",841,1,2,71,5,0
"842",842,5,2,28,8,4
"843",843,5,2,29,8,0
"844",844,5,1,49,19,7
"845",845,5,2,54,13,4
"846",846,1,2,78,5,4
"847",847,5,1,58,16,3
"848",848,1,2,47,9,1
"849",849,4,1,57,16,6
"850",850,1,1,65,8,3
"851",851,5,2,26,20,5
"852",852,5,1,47,16,5
"853",853,5,1,24,11,5
"854",854,5,2,39,18,4
"855",855,5,2,31,17,5
"856",856,5,2,40,13,5
"857",857,1,1,76,8,5
"858",858,5,1,40,15,3
"859",859,5,1,59,8,5
"860",860,5,2,54,12,NA
"861",861,1,2,77,15,4
"862",862,3,1,65,8,3
"863",863,4,1,21,13,9
"864",864,4,2,62,8,3
"865",865,5,2,49,16,6
"866",866,5,1,54,13,7
"867",867,5,1,41,13,5
"868",868,5,1,19,13,6
"869",869,5,2,80,19,4
"870",870,5,2,19,15,7
"871",871,1,2,80,5,0
"872",872,5,1,54,15,8
"873",873,1,2,76,8,6
"874",874,2,1,25,8,4
"875",875,5,2,41,13,2
"876",876,2,2,69,5,6
"877",877,NA,1,81,13,7
"878",878,5,1,46,18,8
"879",879,5,1,60,13,2
"880",880,5,1,26,23,6
"881",881,1,1,81,5,6
"882",882,5,2,49,19,4
"883",883,1,2,76,11,5
"884",884,5,1,24,18,5
"885",885,5,2,52,13,0
"886",886,5,1,42,15,5
"887",887,5,2,54,15,0
